provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,1,247287,Estatal,Urbano,4,3,550.31573,466.75851,.0057786424,2,2,2,1,4,1,CUYO,2
MZA,2,247266,Estatal,Urbano,3,2,527.24866,455.46713,-.36903167,2,2,2,1,3,3,CUYO,2
MZA,1,247289,Estatal,Urbano,2,2,421.11813,449.15985,.59687847,2,2,2,1,7,5,CUYO,2
MZA,1,247290,Estatal,Urbano,3,2,457.72147,444.71057,.92589754,2,2,2,1,7,7,CUYO,2
SFE,3,780685,Estatal,Urbano,4,3,671.62488,535.47437,-.48016888,2,2,2,1,7,4,CENTRO,2
SFE,3,780686,Estatal,Urbano,2,2,413.0701,420.38043,.066688128,2,2,-9,1,7,2,CENTRO,2
SFE,3,780687,Estatal,Urbano,2,2,437.67047,419.64282,.68085986,2,2,2,1,5,5,CENTRO,2
SDE,1,73653,Estatal,Rural,4,4,730.15424,615.55438,-.51797569,2,2,2,1,7,2,NOA,3
SDE,1,73654,Estatal,Rural,4,4,727.04358,657.31915,-2.7793202,1,2,2,1,3,2,NOA,3
TUC,1,41535,Estatal,Rural,2,1,409.51425,359.97461,-.97322333,2,2,2,1,7,7,NOA,2
TUC,1,41536,Estatal,Rural,3,1,484.66644,322.92667,-.063608766,2,2,2,1,5,5,NOA,2
ETR,2,729782,Privado,Urbano,3,1,473.92374,405.51733,1.0763631,3,3,-9,2,7,4,CENTRO,2
