provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SFE,1,350349,Estatal,Rural,4,3,605.08661,551.27667,.25066489,2,2,2,1,5,2,CENTRO,2
SFE,1,350351,Estatal,Rural,3,2,483.67355,434.4043,-.014973185,2,2,2,1,5,5,CENTRO,2
SFE,1,350352,Estatal,Rural,3,1,472.64063,345.33096,-1.7114261,1,3,2,2,3,1,CENTRO,2
SFE,1,350353,Estatal,Rural,3,2,515.43396,448.84418,-1.242982,1,2,2,1,2,3,CENTRO,2
SFE,1,350354,Estatal,Rural,3,2,451.75858,429.75793,-.85082573,2,3,2,2,2,3,CENTRO,2
SFE,1,794840,Estatal,Rural,2,2,445.02737,457.10092,.35199222,2,2,2,1,4,4,CENTRO,3
SFE,1,794841,Estatal,Rural,1,1,318.14487,380.57516,.29631659,2,2,2,1,7,3,CENTRO,3
SFE,1,794842,Estatal,Rural,2,3,440.39899,477.07565,.4322626,2,2,2,1,7,4,CENTRO,3
SFE,1,794843,Estatal,Rural,2,2,418.28979,409.80685,.59687847,2,3,2,2,5,5,CENTRO,3
SFE,1,794844,Estatal,Rural,3,2,454.79004,458.33115,-.38266656,2,2,2,1,1,1,CENTRO,3
SFE,1,794846,Estatal,Rural,3,3,495.47412,535.47229,-.94309336,2,2,2,1,3,5,CENTRO,3
SFE,1,794847,Estatal,Rural,2,3,395.94348,507.19031,-.92118919,2,2,-9,1,4,5,CENTRO,3
SFE,1,794848,Estatal,Rural,3,1,461.14011,384.04495,.43597367,2,2,2,1,5,5,CENTRO,3
SFE,1,794850,Estatal,Rural,4,3,581.68024,489.4827,.35214362,2,2,2,1,5,5,CENTRO,3
SFE,1,794851,Estatal,Rural,3,3,489.73566,541.51135,.17716159,2,2,2,1,3,5,CENTRO,3
SFE,1,794852,Estatal,Rural,1,3,385.98346,536.66473,.069008231,2,2,2,1,5,5,CENTRO,3
SFE,1,794854,Estatal,Rural,2,2,417.32578,458.96692,-.71472842,2,3,2,2,3,5,CENTRO,3
SFE,1,780598,Estatal,Urbano,2,2,435.92178,452.49707,.93280417,2,2,2,1,5,5,CENTRO,2
SFE,1,780597,Estatal,Urbano,3,2,483.57571,408.22311,.88749701,2,5,1,4,7,7,CENTRO,2
SFE,1,780596,Estatal,Urbano,4,3,574.76007,573.39001,-.26711062,2,2,2,1,2,3,CENTRO,2
SFE,1,780599,Estatal,Urbano,4,3,577.80652,578.71661,.38053,2,2,2,1,7,4,CENTRO,2
SFE,1,780600,Estatal,Urbano,1,3,328.38889,472.74509,.12074084,2,2,-9,1,5,5,CENTRO,2
SFE,1,780601,Estatal,Urbano,1,2,338.24741,438.51981,.59687847,2,2,2,1,5,5,CENTRO,2
SFE,1,780602,Estatal,Urbano,2,1,420.42639,373.77618,.90840024,2,2,2,1,7,4,CENTRO,2
SFE,1,780603,Estatal,Urbano,2,2,392.95786,418.50641,-.4911108,2,2,2,1,5,5,CENTRO,2
SFE,1,780604,Estatal,Urbano,1,3,358.35681,516.06451,-1.1959566,1,3,2,2,7,7,CENTRO,2
SFE,1,780605,Estatal,Urbano,2,2,390.67291,424.56296,.59687847,2,2,2,1,5,5,CENTRO,2
SFE,1,780606,Estatal,Urbano,1,1,343.06918,379.83331,-.049973898,2,2,2,1,7,7,CENTRO,2
